"Path","Platform","Compiled","Cooked","Permutations","Compiletime","CompiledDouble","CookedDouble"
"/ControlRig/Controls/ControlRigGizmoMaterial.ControlRigGizmoMaterial","0","2","2","1","2.942894","0","2"
"/Engine/EngineDebugMaterials/DebugEditorMaterial.DebugEditorMaterial","0","5","6","1","12.141927","0","6"
"/ControlRig/Controls/ControlRigXRayMaterial.ControlRigXRayMaterial","0","8","9","1","20.138912","0","9"
"/Engine/EngineDebugMaterials/M_SimpleUnlitTranslucent.M_SimpleUnlitTranslucent","0","3","3","1","1.730989","0","3"
"/Engine/VREditor/TransformGizmo/TranslucentTransformGizmoMaterial.TranslucentTransformGizmoMaterial","0","3","3","1","1.955223","0","3"
"/Engine/VREditor/TransformGizmo/TransformGizmoMaterial.TransformGizmoMaterial","0","2","2","1","3.028552","0","2"
"/Engine/EngineMaterials/Widget3DPassThrough.Widget3DPassThrough","0","45","50","6","57.708752","0","50"
"/Game/M_OrcTemp2.M_OrcTemp2","0","24","24","1","34.624153","0","24"
"/Engine/EngineSky/VolumetricClouds/m_SimpleVolumetricCloud.m_SimpleVolumetricCloud","0","100","100","1","981.167908","0","100"
"/Game/Materials/M_PlayerFog.M_PlayerFog","0","5","5","1","3.071965","0","5"
"","0","1","0","1","0.000000","3","0"
"/Engine/EditorMaterials/PhAT_NoCollisionMaterial.PhAT_NoCollisionMaterial","0","3","3","1","3.081863","0","3"
"/MeshModelingToolset/Materials/M_DynamicMeshComponentVtxColor.M_DynamicMeshComponentVtxColor","0","16","18","1","24.726545","0","18"
"/Engine/EngineSky/M_Sky_Panning_Clouds2.M_Sky_Panning_Clouds2","0","2","2","1","2.911349","0","2"
"/Game/Landscape/Assets/Pillar/BodyBakeMat.BodyBakeMat","0","12","12","1","15.676214","0","12"
"/Game/Landscape/Assets/Pillar/BaseBakeMat.BaseBakeMat","0","12","12","1","14.210347","0","12"
"/Game/Landscape/Assets/Pillar/TopBakeMat.TopBakeMat","0","12","12","1","0.000000","0","12"
"/Game/Landscape/Assets/M_MossyRuinStone.M_MossyRuinStone","0","12","12","1","15.441696","0","12"
"/Game/Landscape/Textures/M_LSMaster.M_LSMaster","0","126","126","4","110.113846","0","126"
"/Engine/EditorMaterials/PhAT_UnselectedMaterial.PhAT_UnselectedMaterial","0","3","3","1","1.963702","0","3"
"/InterchangeAssets/gltf/M_Default.M_Default","0","242","260","6","907.583740","0","260"
"/InterchangeAssets/gltf/M_ClearCoat.M_ClearCoat","0","242","260","6","690.698425","0","260"
"/InterchangeAssets/gltf/M_Sheen.M_Sheen","0","234","244","6","656.056030","0","244"
"/Engine/EngineMaterials/GizmoMaterial.GizmoMaterial","0","5","6","1","7.051324","0","6"
"/Engine/EngineDebugMaterials/DebugMeshMaterial.DebugMeshMaterial","0","5","5","1","3.110918","0","5"
"/Engine/EngineMaterials/RemoveSurfaceMaterial.RemoveSurfaceMaterial","0","2","2","1","1.888065","0","2"
"/Engine/EngineMaterials/NaniteHiddenSectionMaterial.NaniteHiddenSectionMaterial","0","25","27","1","38.959515","0","27"
"/Engine/EditorMaterials/Dataflow/DataflowTwoSidedVertexMaterial.DataflowTwoSidedVertexMaterial","0","30","32","1","49.222733","0","32"
